,current_price,open,high,low,close,volume
0,1339.95,"1,336.00","1,340.00","1,336.00","1,339.95",27.89k
1,1339.95,"1,336.00","1,340.00","1,336.00","1,339.95",27.89k
2,1342.85,"1,340.00","1,343.20","1,338.30","1,342.85",38.70k
3,1341.65,"1,342.85","1,343.65","1,341.20","1,341.65",33.59k
4,1341.65,"1,342.85","1,343.65","1,341.20","1,341.65",33.59k
5,1342.00,"1,341.05","1,342.75","1,340.00","1,342.00",25.26k
6,1342.40,"1,341.45","1,344.20","1,341.20","1,342.40",48.45k
7,1342.40,"1,341.45","1,344.20","1,341.20","1,342.40",48.45k
8,1344.95,"1,342.20","1,345.55","1,342.20","1,344.95",53.74k
9,1344.35,"1,344.70","1,345.30","1,343.35","1,344.35",24.02k
10,1343.95,"1,345.00","1,345.10","1,342.40","1,343.95",23.01k
11,1343.95,"1,345.00","1,345.10","1,342.40","1,343.95",23.01k
12,1344.90,"1,344.05","1,345.30","1,343.65","1,344.90",16.12k
13,1344.60,"1,345.00","1,345.50","1,344.25","1,344.60",11.79k
14,1344.60,"1,345.00","1,345.50","1,344.25","1,344.60",11.79k
15,1346.35,"1,344.90","1,346.80","1,344.75","1,346.35",17.30k
16,1347.30,"1,345.85","1,347.35","1,345.80","1,347.30",24.51k
17,1347.30,"1,345.85","1,347.35","1,345.80","1,347.30",24.51k
18,1346.50,"1,347.40","1,348.05","1,346.50","1,346.50",23.99k
19,1346.70,"1,346.70","1,347.40","1,346.10","1,346.70",19.70k
20,1346.70,"1,346.70","1,347.40","1,346.10","1,346.70",19.70k
21,1347.90,"1,346.60","1,348.00","1,346.35","1,347.90",18.04k
22,1347.50,"1,347.80","1,348.90","1,347.10","1,347.50",28.25k
23,1348.30,"1,347.90","1,348.80","1,347.35","1,348.30",20.34k
24,1348.30,"1,347.90","1,348.80","1,347.35","1,348.30",20.34k
25,1349.00,"1,348.75","1,349.20","1,348.50","1,349.00",23.94k
26,1349.10,"1,349.25","1,349.50","1,348.75","1,349.10",26.90k
27,1349.10,"1,349.25","1,349.50","1,348.75","1,349.10",26.90k
28,1348.60,"1,349.10","1,349.10","1,348.50","1,348.60",21.26k
29,1347.65,"1,348.85","1,348.85","1,347.00","1,347.65",21.41k
30,1347.65,"1,348.85","1,348.85","1,347.00","1,347.65",21.41k
31,1349.25,"1,347.10","1,349.25","1,347.10","1,349.25",42.62k
32,1349.05,"1,349.20","1,349.25","1,348.30","1,349.05",15.12k
33,1349.05,"1,349.20","1,349.25","1,348.30","1,349.05",15.12k
34,1348.60,"1,349.05","1,349.20","1,348.35","1,348.60",19.92k
35,1349.75,"1,348.60","1,349.75","1,348.60","1,349.75",20.68k
